Year,Purpose,Category,Adopted or Rejected,'Yes' Votes,'No' Votes,Total Votes in Election,Total Votes,,Ballot Language,url
2012,To provide that only a union of one man and one woman shall be valid or recognized as a marriage in Minnesota,Civil Rights,,Not Available,Not Available,Not Available,,,2011 Laws of MInnesota Chapter 88,https://www.revisor.mn.gov/laws/?id=88&doctype=Chapter&year=2011&type=0
2008,"To protect our natural resources and preserve Minnesota’s arts and cultural heritage by increasing the sales and use tax rate beginning July 1, 2009, by three-eights of one percent on taxable sales until the year 2034",Revenue & Spending,A,"1,635,046","1,141,540","2,920,214t",2920214,56.0%,2008 Laws of MInnesota Chapter 151,https://www.revisor.mn.gov/laws/?id=151&year=2008
2006,To dedicate the motor vehicle sales tax to highways and public transportation.,Highways & Transit,A,"1,270,042","947,776","2,217,818t",2217818,57.3%,2005 Laws of MInnesota Chapter 88,https://www.revisor.mn.gov/laws/?id=88&year=2005
1998,To extend use of lottery for environmental trust fund.,Environment & Land Use,A,"1,556,895","460,747","2,105,343t",2105343,73.9%,1998 Laws of MInnesota Chapter 342,https://www.revisor.mn.gov/laws/?id=342&year=1998
1998,To abolish the office of state treasurer.,Structure of Government,A,"1,087,789","855,853","2,105,343t",2105343,51.7%,1998 Laws of MInnesota Chapter 387 (Art. 1 Sec. 3),https://www.revisor.mn.gov/laws/?id=387&year=1998
1998,To preserve hunting and fishing heritage.,Environment & Land Use,A,"1,570,720","462,749","2,105,343t",2105343,74.6%,1998 Laws of MInnesota Chapter 392,https://www.revisor.mn.gov/laws/?id=392&year=1998
1996,To provide for recall of elected state officials.,Structure of Government,A,"1,833,523","248,778","2,211,161t",2211161,82.9%,1996 Laws of MInnesota Chapter 469,https://www.revisor.mn.gov/laws/?id=469&year=1996
1996,To authorize a bonus for Persian Gulf War veterans.,Revenue & Spending,A,"1,334,409","740,039","2,211,161t",2211161,60.3%,1996 Laws of MInnesota Chapter 429,https://www.revisor.mn.gov/laws/?id=429&year=1996
1994,To permit off-track wagering on horse racing in a manner prescribed by law.,Gambling & Vice,R,"841,277","847,802","1,794,618t",1794618,46.9%,1994 Laws of MInnesota Chapter 626,https://www.revisor.mn.gov/laws/?id=626&year=1994
1990,To dedicate 40 percent of the state lottery proceeds to the environment and natural resources trust fund until the year 2001.,Revenue & Spending,A,"1,388,105","329,806","1,843,104t",1843104,75.3%,1990 Laws of MInnesota Chapter 610,https://www.revisor.mn.gov/laws/?id=610&year=1990
